       p  acos(c)[deg]     σ₁²     σ₂²     σ₃²     σ₄²     σ₅²     σ₆²
-1.0e+00         40.37  1.3875  0.8851  0.6472  1.3875  0.8851 -0.0000
-1.0e+00         40.54  1.3902  0.8834  0.6429  1.3902  0.8834 -0.0000
-1.0e+00         40.72  1.3929  0.8817  0.6386  1.3929  0.8817 -0.0000
-1.0e+00         40.89  1.3955  0.8799  0.6344  1.3955  0.8799 -0.0000
-1.0e+00         41.06  1.3982  0.8782  0.6301  1.3982  0.8782 -0.0000
-1.0e+00         41.24  1.4008  0.8764  0.6258  1.4008  0.8764 -0.0000
-1.0e+00         41.41  1.4035  0.8747  0.6215  1.4035  0.8747 -0.0000
-1.0e+00         41.58  1.4062  0.8730  0.6172  1.4062  0.8730 -0.0000
-1.0e+00         41.75  1.4088  0.8712  0.6128  1.4088  0.8712 -0.0000
-1.0e+00         41.92  1.4115  0.8695  0.6085  1.4115  0.8695 -0.0000
-1.0e+00         42.09  1.4141  0.8677  0.6042  1.4141  0.8677 -0.0000
-1.0e+00         42.26  1.4168  0.8659  0.5998  1.4168  0.8659 -0.0000
-1.0e+00         42.43  1.4194  0.8642  0.5955  1.4194  0.8642 -0.0000
-1.0e+00         42.60  1.4221  0.8624  0.5911  1.4221  0.8624 -0.0000
-1.0e+00         42.76  1.4247  0.8606  0.5868  1.4247  0.8606 -0.0000
-1.0e+00         42.93  1.4274  0.8589  0.5824  1.4274  0.8589 -0.0000
-1.0e+00         43.10  1.4300  0.8571  0.5780  1.4300  0.8571 -0.0000
-1.0e+00         43.26  1.4327  0.8553  0.5736  1.4327  0.8553 -0.0000
-1.0e+00         43.43  1.4353  0.8535  0.5692  1.4353  0.8535 -0.0000
-1.0e+00         43.60  1.4380  0.8517  0.5648  1.4380  0.8517 -0.0000
-1.0e+00         43.76  1.4406  0.8499  0.5604  1.4406  0.8499 -0.0000
-1.0e+00         43.92  1.4432  0.8481  0.5560  1.4432  0.8481 -0.0000
-1.0e+00         44.09  1.4459  0.8463  0.5515  1.4459  0.8463 -0.0000
-1.0e+00         44.25  1.4485  0.8445  0.5471  1.4485  0.8445 -0.0000
-1.0e+00         44.41  1.4511  0.8427  0.5427  1.4511  0.8427 -0.0000
-1.0e+00         44.58  1.4537  0.8409  0.5382  1.4537  0.8409 -0.0000
-1.0e+00         44.74  1.4564  0.8391  0.5338  1.4564  0.8391 -0.0000
-1.0e+00         44.90  1.4590  0.8373  0.5293  1.4590  0.8373 -0.0000
-1.0e+00         45.06  1.4616  0.8354  0.5248  1.4616  0.8354 -0.0000
-1.0e+00         45.22  1.4642  0.8336  0.5204  1.4642  0.8336 -0.0000
-1.0e+00         45.38  1.4669  0.8318  0.5159  1.4669  0.8318 -0.0000
-1.0e+00         45.54  1.4695  0.8299  0.5114  1.4695  0.8299 -0.0000
-1.0e+00         45.70  1.4721  0.8281  0.5069  1.4721  0.8281 -0.0000
-1.0e+00         45.86  1.4747  0.8263  0.5024  1.4747  0.8263 -0.0000
-1.0e+00         46.02  1.4773  0.8244  0.4979  1.4773  0.8244 -0.0000
-1.0e+00         46.17  1.4799  0.8226  0.4934  1.4799  0.8226 -0.0000
-1.0e+00         46.33  1.4825  0.8207  0.4889  1.4825  0.8207 -0.0000
-1.0e+00         46.49  1.4851  0.8189  0.4844  1.4851  0.8189 -0.0000
-1.0e+00         46.64  1.4877  0.8170  0.4799  1.4877  0.8170 -0.0000
-1.0e+00         46.80  1.4903  0.8151  0.4754  1.4903  0.8151 -0.0000
-1.0e+00         46.96  1.4929  0.8133  0.4708  1.4929  0.8133 -0.0000
-1.0e+00         47.11  1.4955  0.8114  0.4663  1.4955  0.8114 -0.0000
-1.0e+00         47.27  1.4981  0.8095  0.4618  1.4981  0.8095 -0.0000
-1.0e+00         47.42  1.5007  0.8076  0.4572  1.5007  0.8076 -0.0000
-1.0e+00         47.57  1.5032  0.8057  0.4527  1.5032  0.8057 -0.0000
-1.0e+00         47.73  1.5058  0.8039  0.4481  1.5058  0.8039 -0.0000
-1.0e+00         47.88  1.5084  0.8020  0.4436  1.5084  0.8020 -0.0000
-1.0e+00         48.03  1.5110  0.8001  0.4390  1.5110  0.8001 -0.0000
-1.0e+00         48.19  1.5135  0.7982  0.4345  1.5135  0.7982 -0.0000
-1.0e+00         48.34  1.5161  0.7963  0.4299  1.5161  0.7963 -0.0000
-1.0e+00         48.49  1.5187  0.7944  0.4254  1.5187  0.7944 -0.0000
-1.0e+00         48.64  1.5212  0.7925  0.4208  1.5212  0.7925 -0.0000
-1.0e+00         48.79  1.5238  0.7905  0.4162  1.5238  0.7905 -0.0000
-1.0e+00         48.95  1.5263  0.7886  0.4117  1.5263  0.7886 -0.0000
-1.0e+00         49.10  1.5289  0.7867  0.4071  1.5289  0.7867 -0.0000
-1.0e+00         49.25  1.5314  0.7848  0.4025  1.5314  0.7848 -0.0000
-1.0e+00         49.40  1.5340  0.7828  0.3979  1.5340  0.7828 -0.0000
-1.0e+00         49.55  1.5365  0.7809  0.3934  1.5365  0.7809 -0.0000
